id,brand,carLine,class,classSimple,engId,displ,cylinders,inValves,exValves,airAspir,trans,manual,gears,drive,maxEthanol,mpgCity,mpgHwy,mpgComb,guzzler,guzzlerEx,fuelCost,amtSave,amtOver,co2City,co2Hwy,co2Comb,mfrNameFull,mfrName,mfrCode
19662,Acura,ILX,compact car,compact car,4,2.4,4,2,2,natural,ams,no,8,"2wd, front",10,25.1342,34.8146,28.7289,no,no,1450,,250,353,255,309,"Honda Motor Company, Ltd",Honda,HNX
20014,Acura,MDX AWD,small suv,suv,22,3.5,6,2,2,natural,sa,no,9,awd,10,19.3663,26,22.0612,no,yes,1900,,2500,456,340,404,"Honda Motor Company, Ltd",Honda,HNX
20015,Acura,MDX AWD,small suv,suv,23,3.5,6,2,2,natural,sa,no,9,awd,10,18,26,21,no,yes,2000,,3000,495,343,424,"Honda Motor Company, Ltd",Honda,HNX
20009,Acura,MDX FWD,small suv,suv,21,3.5,6,2,2,natural,sa,no,9,"2wd, front",10,19,27,22,no,yes,1900,,2500,468,329,404,"Honda Motor Company, Ltd",Honda,HNX
20010,Acura,MDX FWD,small suv,suv,20,3.5,6,2,2,natural,sa,no,9,"2wd, front",10,20.2308,27,23.2638,no,yes,1850,,2250,440,330,391,"Honda Motor Company, Ltd",Honda,HNX
20864,Acura,NSX,two seater,compact car,3,3.5,6,2,2,turbocharged,ams,no,9,awd,10,21,21.7131,21,no,no,2000,,3000,419,406,420,"Honda Motor Company, Ltd",Honda,HNX
19526,Acura,RDX AWD,small suv,suv,2,3.5,6,2,2,natural,sa,no,6,awd,10,18.927,27.1633,21.9176,no,yes,1900,,2500,466,325,402,"Honda Motor Company, Ltd",Honda,HNX
19527,Acura,RDX FWD,small suv,suv,1,3.5,6,2,2,natural,sa,no,6,"2wd, front",10,19.7311,28.3185,22.8491,no,yes,1850,,2250,447,312,386,"Honda Motor Company, Ltd",Honda,HNX
20327,Acura,RLX,midsize car,midsize car,24,3.5,6,2,2,natural,sa,no,6,"2wd, front",10,19.8039,30.1602,23.4232,no,no,1850,,2250,451,295,380,"Honda Motor Company, Ltd",Honda,HNX
20328,Acura,RLX,midsize car,midsize car,25,3.5,6,2,2,natural,ams,no,7,awd,10,29.1463,30,29,no,no,1450,,250,304,296,306,"Honda Motor Company, Ltd",Honda,HNX
20313,Acura,TLX AWD,compact car,compact car,10,3.5,6,2,2,natural,sa,no,9,awd,10,21.3582,31,24.9886,no,no,1700,,1500,416,286,358,"Honda Motor Company, Ltd",Honda,HNX
20386,Acura,TLX FWD,compact car,compact car,8,2.4,4,2,2,natural,ams,no,8,"2wd, front",10,24,34.6595,28.4297,no,no,1500,,500,372,258,321,"Honda Motor Company, Ltd",Honda,HNX
20312,Acura,TLX FWD,compact car,compact car,9,3.5,6,2,2,natural,sa,no,9,"2wd, front",10,21,34.1415,25,no,no,1700,,1500,427,262,358,"Honda Motor Company, Ltd",Honda,HNX
20889,Aston Martin,Rapide S,subcompact car,compact car,5,6,12,2,2,natural,sa,no,8,"2wd, rear",10,14.0538,21.4866,16.6449,yes,no,2450,,5250,631,413,533,Aston Martin Lagonda Ltd,Aston Martin,ASX
20887,Aston Martin,V12 Vantage S,two seater,compact car,2,6,12,2,2,natural,am,no,7,"2wd, rear",10,12.1164,18.3976,14.3158,yes,no,3000,,8000,737,485,624,Aston Martin Lagonda Ltd,Aston Martin,ASX
